question,answer,id,relevant_passage_ids
Please list 10 conditions which play a role in causing atrial fibrillation.,"Atrial fibrillation (AF) is the most common sustained arrhythmia and is associated with significant morbidity and mortality. Multiple conditions like hypertension, heart failure, diabetes, sleep apnoea, hyperthyroidism and obesity play a role for the initiation and perpetuation of AF. Other possible causes are alcohol and drug use and atrial ischemia. Risk of AF increases with age.",2733,"[28822529 21072908  3158290 10505494 22075545  7846937 27247004 25994013
 21718559 25430048 11975840 12001826 12395441  2200378 28496833 19450312
 10535368 19450316 28496617 27957098 14688506 19151857  8149754]"
Which protein is required for Argonaute 2 recruitment to stress granules and P-bodies?,Hsp90 regulates the function of argonaute 2 and its recruitment to stress granules and P-bodies.,1364,[19458189 21439943]
What states the second parity rule (PR2)?,"The second parity rule (PR2), also known as Chargaff' s second parity rule, is an intra-strand rule which states that, when there are no biases between the two complementary strands of DNA in mutation and selection rates (substitution rates), complementary nucleotides are expected to have almost equal frequencies within single stranded DNA, namely A = T and G = C at equilibrium, without regard to the G + C content of the DNA.",689,"[14732869 11164037 19861381 10570983 10570985 16893615 10368434  7723058
 23140179 11675607 12468095]"
Is the Drosophila Translational Control Element (TCE) involved in spermatogenesis?,"Yes. The Drosophila Translational Control Element (TCE), a 12 nucleotide long sequence element, was demonstrated to be necessary for translational control of expression in the male germ line of Drosophila melanogaster.",245,[22984601  8111973]
What is the chromosomal location of the LDL receptor gene associated with autosomal dominant Familial Hypercholesterolemia?,"Familial hypercholesterolemia (FH) is an autosomal dominant inherited metabolic disorder resulting in advanced vascular atherosclerosis and premature death, primarily from coronary artery disease. The primary defect is a mutation in the gene encoding for the plasma LDL receptor located on the short arm of chromosome 19",3514,[ 9016531  7585875 15717219 10764678]
"In which kingdom do microsporidia belong, according to their current classification scheme?","Traditionally, microsporidia were considered as protozoans, but recently they have been reclassified as the earliest-diverging clade of sequenced fungi. Microsporidia are a diverse group of obligate, intracellular, eukaryotic, spore-forming parasites; they are ubiquitous fungi, with genomes that have undergone a strong reduction.",759,"[23917025 24104931 20479876 17051209 23087371 25134955 25182222 17572334
 10666703 18976912  9809012 22651672 24558617 25258042 22503551]"
Does IL18 signaling have a role in thymus?,Yes. IL18 signaling promotes homing of mature Tregs into the thymus.,3855,[32687059]
Which is the subcellular localization of the protein angiogenin?,"Under growth conditions, ANG is located in nucleolus where it promotes ribosomal RNA (rRNA) transcription thereby stimulating cell growth. In adverse conditions, ANG is relocated to cytoplasm to promote damage repairs and cell survival.",1149,"[22384259 24603325 23843625 11443914  9299500  7945327 18246300 22438557
 21528671]"
Which are the main features of CREST and other ALS-linked proteins?,"CREST and certain other ALS-linked proteins share several features implicated in ALS pathogenesis, namely the ability to aggregate, be recruited to stress granules and alter paraspeckle integrity.",953,[24360741 24920614 13129802 25173930 25888396 24355598 16808883 24115583]
Is apixaban effective for treatment of acute venous thromboembolism?,"Apixaban is a direct inhibitor of factor Xa, and is a potential alternative for the treatment of acute venous thromboembolism. These results suggest a lack of clear superiority of apixaban relative to enoxaparin. Apixaban is an oral alternative with similar efficacy and safety to existing anticoagulant therapies.",277,"[22153026 23150473 24057162 23822763 22795419 23233582 23117646 22084658
 24278706 23808982 18393142 24554904 19308891 19014462]"
Which protein mediates the replacement of H2A by H2A.Z in the yeast Saccharomyces cerevisiae?,"Saccharomyces cerevisiae Swr1, a Swi2/Snf2-related ATPase, is the catalytic core of a multisubunit chromatin remodeling enzyme, called the SWR1 complex, that efficiently replaces conventional histone H2A in nucleosomes with histone H2A.Z. We identified a complex containing 13 different polypeptides associated with a soluble pool of H2A.Z in Saccharomyces cerevisiae.",2014,"[21111233 22910211 19088068 24507717 15045029 23580526 17142478 17289584
 19966225 27463665 20711347 23816883 26116819 17470967 18726008 16299513
 19910462]"
Against which organisms has reverse vaccinology been used?,"Reverse Vaccinology (RV) was first applied to serogroup B Neisseria meningitidis. This work induced further research of other pathogens in the same way: Porphyromonas gingivalis, Streptococcus pneumoniae, Chlamydia pneumoniae, Bacillus anthracis, group B streptococci, Helicobacter pylori and Mycobacterium tuberculosis. Concerning animal-affecting organisms, RV has been applied for vaccine design against Theileria parva, Brachyspira hyodysenteriae,  Echinococcus granulosus, Ehrlichia ruminantium, Leishmania spp, Rhipicephalus microplus and Brucella melitensis.",1250,"[22261504 11257410 16107075 17291333 16848907 20127115 19179021 23527566
 23514126 23533646 22434357 20671958 22521592 21993656 12531326]"
Does melanoma  occur in people of African origin ?,"Yes. Africans with dark skin have a reduced risk of getting all types of skin cancer as compared with Caucasians. The incidence of malignant melanoma in Johannesburg Black was 1,2 per 100 000 and accounted for 2% of all cancers. The largest number of cases occurred in the 50- 70-year age group and there was a female preponderance. As in previous studies, the sites predominantly affected were the foot and the hand, mainly on the plantar and palmar surfaces.",462,"[  876685  8000657 10461463 15540891    97949 19450404  5776549 12883369
  8402099 20415670   475965 19538377  8260178  1135705  1138394 11205232
  1156726 18227705  1920508]"
What tissue is commonly affected in Marfan's syndrome,Marfan syndrome (MS) is a connective tissue disorder that affects thousands of adolescents ,2086,"[21308160 21723458 26281765  9401003 14304236  9068910 26494287 19554831
 21866385  9316048 26272787 17620463 10050736 23304566  8240311 16400220]"
Which disease is treated with Eliglustat?,Eliglustat was developed for treatment of Gaucher's disease type 1.,1220,"[20439622 24835462 20713962 25819691 20864621 25688781 25256118 24816856
 22058426]"
What 3 organs are the sphincter of Oddi associated with?,"Sphincter of Oddi is associated with the pancreatic duct, duodenum and gallbladder.",4233,"[ 7991969  8419235 15836453 11900681  2666281  8026537  3653618  6065875
 10409171 15143221  2052626  7549047 19799700 31951513  3058076  3049055]"
List 3 conventional synthetic DMARDs.,"Three conventional synthetic (cs) DMARDs include methotrexate (MTX), leflunomide, and sulfasalazine.",3873,[31969328 24072562 29231235]
List the main protein families found in human tears?,"Lipocalin
Cystatin S (CST4), 
calcyclin (S100A6),
calgranulin A (S100A8) 
matrix metalloproteinase 9 (MMP9)
LTF, 
LYZ, 
ZAG,
DNAJC3",4410,[34012227 31951085 34489718 31369467]
"In which process Src, Cortactin and MT1-MMP are playing an essential role?","Src was shown to be required for invadopodia formation and function, whereas Cortactin was found to regulate cofilin and N-WASp activities to control the stages of invadopodium assembly and maturation. Finally, membrane type 1 matrix metalloproteinase (MT1-MMP) was demostrated as the key invadopodial enzyme responsible for gelatin matrix degradation in cancer cells.",1021,[20937825 17446433 22039045 16540652 19704022 23417847]
How many of the human PML isoforms are cytosolic?,"Using a system in which only a single EYFP-linked PML isoform is expressed, we demonstrate that PMLI, PMLII and PMLVI accumulate in the cytoplasm following arsenic treatment, whereas PMLIII, PMLIV and PMLV do not the PML isoforms that are most sensitive to virus infection correspond closely to those which have recently been identified as being covalently conjugated to PIC1. ",2311,[ 9658103 24190887]
Does hypofractionated radiotherapy offers any benefit for DIPG?,No. Hypofractionated radiotherapy does not offers benefit when compared to conventional fractionated radiation therapy for DIPG.,4053,[31785177 31728883 21327862 24560760 33080729]
What is protein palmitoylation?,"Protein S-palmitoylation, the covalent lipid modification of the side chain of Cys residues with the 16‑carbon fatty acid palmitate, is the most common acylation, and it enhances the membrane stability of ion channels. This post-translational modification (PTM) determines a functional mechanism of ion channel life cycle from maturation and membrane trafficking to localization.",4276,[29189096 32003970 31935590 31812495]
Which disease is treated with semaglutide?,Semaglutide is glucagon-like peptide-1 receptor agonist that is being used for the treatment of type 2 diabetes mellitus.,2122,"[27633186 27835045 26694823 27817160 27432074 22675341 27863704 26358288
 27183953 25475122 27921428 27042424 26642233 26308095]"
What are the effects of STEF depletion?,"The mechanisms regulating the actin cap are currently poorly understood. STEF/TIAM2, a Rac1 selective guanine nucleotide exchange factor, localises at the nuclear envelope, co-localising with the key perinuclear proteins Nesprin-2G and Non-muscle myosin IIB (NMMIIB), where it regulates perinuclear Rac1 activity. STEF depletion reduces apical perinuclear actin cables (a phenotype rescued by targeting active Rac1 to the nuclear envelope), decreases nuclear stiffness and reduces expression of TAZ-regulated genes, indicating an alteration in mechanosensing pathways as a consequence of disruption of the actin cap.",2864,[29072354 21460187 29844364]
Does cortical spreading depression appear in ischemic penumbra following ischemic stroke?,"Yes, cortical spreading depression appears in ischemic penumbra following ischemic stroke and is associated with expansion of ischemic injury. This has been shown in humans and in animal models.",508,"[10082816 22821441 11450018  7944288 20700132 15703392  9740103 14759495
 15879337 22994218 20087371 14568331 20660268 15078545  8623122 18446167]"
Have the promoter regions of the genes implicated in Rett Syndrome been characterized with CAGE?,Yes. Promoter regions of the genes implicated in Rett Syndrome have been characterized using CAGE.,1899,[25539566]
What part of what body organ controls the circadian clock?,"the suprachiasmatic nucleus (SCN) of the hypothalamus acts as the central clock in mammals, the circadian expression of clock genes ",2622,"[23704227 26332965 12505612 28286126 17517647 21969583 25512305 28596466
 28232786 28707700 26453621 20174808 23604475 25645021 28285822]"
Which microRNA is the mediator of the obesity phenotype of patients carrying 1p21.3 microdeletions?,MIR137 is the mediator of the obesity phenotype of patients carrying 1p21.3 microdeletions.,2890,[22003227 27822311]
Which genes are regulated by TRalpha2  in the heart?,"ARB1, ARB2, TAK1, p38, TRalpha1",763,[18031713 15831522 11731613]
What does iBAQ stand for in proteomic analysis?,iBAQ stands for intensity-based absolute quantification.,1095,[22771841 23981693 23794183]
Is Mediator present at super enhancers?,Yes. Super enhancers are clusters of enhancers that are densely occupied by the master regulator and mediator.,4586,"[28839111 28978570 27376235 26416749 25955728 23582322 25547603 23582323
 25263550]"
What is MOV10?,MOV10 is an RNA helicase,3055,[29266590]
What is the role of Gata3 in Th2 cells?,"RHS6 coordinately regulates the Th2 cytokine genes by recruiting GATA3, SATB1, and IRF4. RHS6 recruited transcription factors GATA3, SATB1, and IRF4, which play important roles in expression of all three Th2 cytokine genes  IL-4-mediated STAT6 activation induces high levels of transcription of GATA3, a master regulator of Th2 cell differentiation, and enforced expression of GATA3 induces Th2 cytokine expression.",3288,"[21536806 27053161 27878828 23232398 21632975 16456016 20554961 19933870
 12835475 11135577 17111354]"
What is the incidence of cystic fibrosis in the caucasian population?,Estimates of the newborn frequency of cystic fibrosis in different Caucasian groups range from 4 times more to 40 times less common than the generally accepted figure of 1:2000.,1192,"[15698945 18344710  7635469 19787152  1722259  1683481  2570015  1281842
   659256 10992696  1756602 11948988  2999612  7509311 20034372 15211979
  7513296 17968991  1392366 18078202 22989055]"
What is the association of estrogen replacement therapy and intracranial meningioma risk?,"The association between hormone replacement therapy and meningioma risk is controversial. Increased risk of meningioma was demonstrated in estrogen-only hormonal replacement therapy. However, other studies did not find an association between hormonal replacement therapy and meningioma risk.",45,"[20802020 16570277 23101448 15006250 17580362 20730482 22287638 20738039
 24138870 20091865 25335165 21067422 16759391]"
When is 16S rRNA Gene Sequencing used?,Taxonomic characterization is performed by genotypic approaches such as 16S rRNA gene sequencing.,2550,[27984802 29107843 28103917 28207855]
What does the Smith–Waterman algorithm do?,The Smith-Waterman algorithm performs local sequence alignments. ,3522,[28432608 11301301 26445214]
Is Cryptococcus neoformans a frequent cause of isolated skin infections in immunocompromised individuals,Primary cutaneous cryptococcosis (PCC) without systemic infection is rare.,2096,[26246081 12602722 12219115 27852678]
Which are the mutational hotspots of the human KRAS oncogene?,"The KRAS oncogene has four main mutational hotspots located at codons 12, 13, 61 and 146.",919,"[21266528 23536897 10768832 23074403 19430299 11403720 16434186 17638058
 14534542 12941809 12650907 16458330 21199003 22006429]"
What is Guillain-Barre syndrome (GBS)?,"Guillain-Barré syndrome (GBS) is an acute immune mediated neuropathy, polyradiculoneuritis, characterized by rapid onset of symmetric extremity muscle paralysis, areflexia and albuminocytological dissociation in the cerebrospinal fluid (CSF). Recently, the heterogeneity of GBS has been noticed with definition of several GBS variants. The diagnosis of GBS includes clinical, electrophysiological and laboratory (CSF) criteria.",4537,"[34434441 30895887 26793497 12690329 24511391 31639842 19202218 28968363
 26560944 23087283 32537271 23431480 12134330 15168961 24872655 16708185
  8478553 12415961 15018590 23642721 32192609  9365863 15921641 16206698
 30069105 20508277 33002998 23117942 24731000]"
What is Morel–Lavallée lesion?,Morel-Lavallée lesion is a closed degloving soft-tissue injury that results in the accumulation of a hemolymphatic fluid between the skin/superficial fascia and the deep fascia.,4553,"[33508615 25785224 33310472 26965645 30652431 33217297 33936913 25114393
 32335518 27579812 23332912 33775030 26506679 30547132 26023620 32257483
 17351119 34401233 23739602 24161364 33792213 24639319 32716145 33438963
 20463988 30025335 22266744]"
Have the rotavirus vaccines changed the predominant rotavirus genotypes?,"The increased diversity and differences in genotype dominance observed in states using RotaTeq (G12P[8]), and in states and territories using Rotarix (equine-like G3P[8] and G2P[4]), suggest that these vaccines exert different immunological pressures that influence the diversity of rotavirus strains.",3804,[29790933]
Which is the role of mediator in genome organization?,"Mediator binds to boundaries of chromosomal interaction domains and to proteins involved in DNA looping, RNA metabolism, chromatin remodeling, and actin assembly.",4062,"[29209056 26240385 24824069 27773677 28575439 27742736 24998386 33176147
 31209209 31211995 29157917]"
Which is the specificity of deubiquitinase USP25?,"Ubiquitin Specific Protease 25 (USP25), a member of the deubiquitinase family, is involved in several disease-related signal pathways including myogenesis, immunity and protein degradation. It specially catalyzes the hydrolysis of the K48-linked and K63-linked polyubiquitin chains.",2389,[23754700 24260525 28327663]
"What tyrosine kinase, involved in a Philadelphia- chromosome positive chronic myelogenous leukemia, is the target of Imatinib (Gleevec)?",The fusion protein BCR-ABL,329,"[23666688 17364993 18205699 22151181 21203982 12173333 12869662 11870241
 23174189 22893108 19075651 21279819 11808344 12755554 19254884 22461032
 18974832 15027317 17382013 17382020 12082821 22087818 23942795 20425355
 20529808 23233201 16757427 20425400 22160058 15791812 23090888 22191306
 16850123 14744784 21061842 22761178 19860186 15899391 16988930 12783369
 22037271 20875546 17379100 11986206 16146726 16689455 22506320 12454739
 22460758 16843101 23285088 12750692 15739279 21672337 14639002 21903771
 17929114 12200353 12411298 18533795 19064740 20945321 17970609 22052279
 21892537 17292736 21672900 22985168 19641300 12796373 22519766 17671641
 23032801 20607973 22895079 12176881 22349810 16475128 17956348]"
What is the substrate of the microbial enzyme inulinase?,"The inulinase acts on the beta-(2,1)-D-fructoside links in inulin releasing D-fructose.",322,"[17659392 22286980 23997327 19514896 19256341 18592410 23419675 18427804
 18449567 17005986 20597549 24031675 24031804 23265469 23271628 19107534
 18726619 18051293 22629216 18065000 22622836 18663416 18833660]"
List symptoms of Gradenigo's syndrome.,"Gradenigo's syndrome is a rare but life threatening complication of acute otitis media, which includes a classic triad of otitis media, deep facial pain and ipsilateral abducens nerve paralysis.",1128,[22978305 25232331 23226608 24957520 24979569 24315216 22696630]
Which mutated gene causes the Chédiak–Higashi Syndrome?,Mutation in the lysosomal trafficking regulator (LYST) gene causes the Chédiak-Higashi syndrome (CHS).,2173,"[23615171 23521865 18194410 22762706 23804531 25425525 20617205 22032885
 25582874 14599068 24521565]"
Which tool is used to visualise the junction sites of chloroplast genomes?,"IRscope is an online program to visualize the junction sites of chloroplast genomes. It allows the users to depict the genetic architecture of up to ten chloroplast genomes in the vicinity of the sites connecting the inverted repeats to the short and long single copy regions. The software and its dependent libraries are fully coded in R and the reflected plot is scaled up to realistic size of nucleotide base pairs in the vicinity of the junction sites. The input of the program is an annotation GenBank (.gb) file, the accession or GI number of the sequence or a DOGMA output file.",3106,[29659705]
Inhibition of which transporter is the mechanism of action of drug Canagliflozin?,Inhibition of sodium glucose co-transporter 2 (SGLT2) is the major mechanism of action of canagliflozin. Canagliflozin is the first SGLT2 inhibitor to be approved in the USA for the treatment of type 2 diabetes and is under regulatory review in the EU. Other SGLT2 inhibitors include dapagliflozin and empagliflozin.,194,"[23087012 24040872 22547464 23729000 10481836 23590413 23042029 23563279
 23412078 23326927 22621689 21680987 24257692 24025022 23895803]"
Which receptor does amantadine antagonize?,Amantadine is an N-methyl-D-aspartic acid or N-methyl-D-aspartate (NMDA) receptor antagonist.,3629,[27642581]
Could Hyperthermic intraperitoneal chemotherapy (HIPEC) be effective for the treatment of recurrent ovarian cancer?,"There is level-one evidence suggesting the benefit of postoperative adjuvant intraperitoneal chemotherapy for patients with advanced ovarian cancer after cytoreductive surgery, albeit catheter-related complications resulted after treatment discontinuation. Studies report the use of HIPEC predominantly in the setting of recurrent disease and have demonstrated encouraging results, which merits further investigation in future clinical trials  ",1544,"[18473354 19701772 21112721 23022234 19948452 20721959 20039210 24675244
 22572845 24035502 23972918 22591422 22591426 21543112 24962381 19356887
 23226073 22845405 19917539 21842290 19345401]"
Which algorithm has been proposed for efficient storage of WGS variant calls?,"Whole-genome sequencing (WGS) data are being generated at an unprecedented rate. Analysis of WGS data requires a flexible data format to store the different types of DNA variation. Variant call format (VCF) is a general text-based format developed to store variant genotypes and their annotations. However, VCF files are large and data retrieval is relatively slow. 'SeqArray' is a new WGS variant data format implemented in the R/Bioconductor package for storing variant calls in an array-oriented manner which provides the same capabilities as VCF, but with multiple high compression options and data access using high-performance parallel computing.",2576,[28334390]
Is there an association of alterations in ADCY7 and ulcerative colitis?,Yes. Genome-wide analyses indicate a association between mutations in ACVR1 and ulcerative colitis due to loss-of-function mutations in ADCY7.,3994,[28067910]
Describe CapSim,"CapSim is a software package for simulation of targeted capture sequencing. Given a genome sequence and a set of probes, CapSim simulates the fragmentation, the dynamics of probe hybridization and the sequencing of the captured fragments on Illumina and PacBio sequencing platforms. The simulated data can be used for evaluating the performance of the analysis pipeline, as well as the efficiency of the probe design. Parameters of the various stages in the sequencing process can also be evaluated in order to optimize the experiments.Availability and implementation: CapSim is publicly available under BSD license at https://github.com/Devika1/capsim.",3083,[29092025]
Which drugs were investigated in the ALPHEUS trial?,ALPHEUS study examined if ticagrelor was superior to clopidogrel in reducing periprocedural myocardial necrosis in stable coronary patients undergoing high-risk elective percutaneous coronary intervention (PCI).,3966,[33202219 32473356]
What are Syndecans?,"Syndecans are transmembrane proteoglycans with heparan and chondroitin sulfate chains attached to their extracellular domain. Like many proteoglycans, they interact with a large number of ligands, such as growth factors, adhesion receptors, soluble small molecules, proteinases, and other extracellular matrix proteins to initiate downstream signaling pathways. Syndecans play a major role in inflammation, mainly by regulating leukocyte extravasation and cytokine function.",3317,"[11900484 15936998 29226950 29510059  8875948 26149933 25572401 16620374
 23384311 29931674]"
What is the definition of General Regulatory Factors (GRFs)?,"GRFs, which bind to sites scattered throughout the genome within promoters, would not only play a key role in regulating gene expression but also partition the genome in functionally independent domains.",2365,"[12200417 22889666 21914852 27601258 28158860 17158163 27262581 25215414
 21081559 27540088 20371324 28448767]"
Is autophagy the process where bacteria ingest viral particles?,"Autophagy, a cellular degradation process",2159,"[24198400 21946213 27812870 23121192 24906121 27814601 27027951 24384599
 21175768 23388380]"
Is cocaine use associated with increased risk for intracerebral hemorrhage?,Cocaine use is associated with increased incidence of intracranial hemorrhages most likely due to pressure increases.,1102,"[11456006 20456585  7801738  8754572  7482637 14504335  9122836  9173019
 20645024  2909100  7774897 20185779  1623099  2742464 10696649 12764233
 20444626  2492650  7701492  8628469]"
What are 5 key questions in human performance modeling?,There are five key questions of human performance modeling: 1) Why we build models of human performance; 2) What the expectations of a good human performance model are; 3) What the procedures and requirements in building and verifying a human performance model are; 4) How we integrate a human performance model with system design; and 5) What the possible future directions of human performance modeling research are.,3206,[29531424 22005615]
Why can't humans synthesize Neu5Gc (N-Glycolylneuraminic acid)?,"N-Glycolylneuraminic acid (Neu5Gc) is a sialic acid synthesized by animals, but not by humans or birds. Humans lack a functional cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMAH) protein and cannot synthesize the sugar Neu5Gc, an innate mammalian signal of self. Losing this sugar changed how humans interact with some of our deadliest pathogens: malaria, influenza, and streptococcus among others.",1197,"[25517696 20452577 24829344 15972653 19156207 23520510 22390546 25124893
 18971931 18669916 25003133 16806174 24505439]"
What is EPICCURE?,"EPICCURE is an ongoing randomized, double-blind, placebo-controlled study of the safety of AZD8601 in patients with moderately decreased left ventricular function (ejection fraction 30%-50%) undergoing elective coronary artery bypass surgery. EPICCURE combines high-efficiency delivery with quantitative targeting and follow-up for robust assessment of the safety and exploratory efficacy of VEGF-A mRNA angiogenesis (ClinicalTrials.gov: NCT03370887).",4029,[32728595]
Which two cotransporters are inhibited by sotagliflozin?,Sotagliflozin works by inhibiting sodium-glucose cotransporter 1 (SGLT1) and sodium-glucose cotransporter 2 (SGLT2). It is used for treatment of diabetes.,2248,"[28872070 25759591 26548423 28811850 26049551 26484403 28387957 28899222
 25690134]"
Which histone modifications are associated with Polycomb group (PcG) proteins?,"A member of the polycomb repressive complex 2 (PRC2) directly mediates the addition of K27me3 to histone H3, a modification associated with heterochromatin, and it is believed that this activity mediates transcriptional repression. At the same time PRC2 activity results in a global increase in H3K27 acetylation. Some members of the PcG display affinity towards both histone H3 trimethylated at K9 and H3K27me3, and one CD prefers K9me3.",266,[23694722 19723660 16537902 23322639 20385584 17525233 23104054]
What is Quadracel?,"Quadracel (diphtheria and tetanus toxoids and acellular pertussis adsorbed and inactivated poliovirus vaccine, Sanofi Pasteur Inc.) is a new vaccination developed to condense the last dose of both DTaP and IPV so they do not have to be given separately, thus reducing the total number of vaccinations required. In a randomized, controlled, phase 3, pivotal trial, Quadracel proved to be as efficacious and safe as Daptacel (diphtheria and tetanus toxoids and acellular pertussis vaccine adsorbed, Sanofi Pasteur Inc.) and IPOL (poliovirus vaccine inactivated, Sanofi Pasteur Inc.), given separately, to children between the ages of 4 and 6 years.",3435,[27069343]
What is herceptin?,"Herceptin is a second generation tyrosine kinase inhibitor, that serves as an effective and approved oral therapy for patients with HER2-positive breast cancer.",3732,"[11768602 31822364 15695389 15868447 12422054 15087020 25377592 23830593
 19398090 29405790 19593441 19497323 14666732 29305325 29163501 29671404
 21992561 29544445 29434878 22934911]"
Has MLE4901 been tested in phase III clinical trials?,"No, MLE4901 has been tested in phase 2, randomised, double-blind, placebo-controlled trial.",3707,[28385352]
Is clathrin involved in E-cadherin endocytosis?,E-cadherin is a central component of the adherens junction in epithelial cells and continuously undergoes endocytosis via clathrin-coated vesicles and/or caveolae depending on the cell type.,1045,[17298950 12657640 21516109 18331728 23671930]
Does TFIIS affect nucleosome positioning?,"Transcript cleavage factor TFIIS reactivates the backtracked complexes and promotes pol II transcription through the nucleosome.  The same nucleosomes transcribed in the opposite orientation form a weaker, more diffuse barrier that is largely relieved by higher salt, TFIIS, or FACT",2247,[15808512 19272450 17081995  7626141 27754494 21177855]
What is the incidence of Edwards syndrom in the european population?,Between 0.125 and 39 in every 1000 live births. Most probably 1:5000 of live-born.,320,"[18067809 18156713 21786507 20584846 18467377 19911411  8248469 19408854
 23421080 23116348]"
Which drugs are included in the Lonsurf combination pill?,Lonsurf is an oral fixed dose combination of trifluridine and tipiracil that is used for cancer treatment.,4500,"[32891715 31002008 33468799 32801768 27568360 27431756 26197742 31489588
 26609205 34034550 28315543 34207352 33294265 30445951]"
Can prevnar 13 be used in children?,"Yes, PCV13 is approved for routine vaccination of all infants as a 4-dose series at age 2, 4, 6, and 12-15 months for children who previously received 1 or more doses of the 7-valent pneumococcal conjugate vaccine (PCV7), and for children with underlying medical conditions that increase their risk for pneumococcal disease or its complications.",3173,[22045904]
List diseases caused by protein glutamine expanded repeats,"Huntington's Disease,
dentatorubral-pallidoluysian atrophy",2717,[22905336 10434299  9735324 10381356]
Are gut proteobacteria associated with inflammatory disease?,"The onset of inflammatory bowel disease is associated with enteric proteobacterial infection, yet the mechanistic basis for this association is unclear.",2804,[25018784 24668769 26749064 28842640 26764594 26574491]
What is the association between GERD and gluten ?,"GERD symptoms are common in classically symptomatic untreated CD patients. The GFD is associated with a rapid and persistent improvement in reflux symptoms that resembles the healthy population.
Food intolerance is a common complaint amongst patients with functional gastrointestinal (GI) disorders (FGIDs), including those with irritable bowel syndrome (IBS), functional dyspepsia, as well as gastroesophageal reflux disease. There is a great interest in the role of a major dietary protein, gluten, in the production of symptoms...several published studies have consistently shown the efficacy of a gluten-free diet in rapidly controlling esophageal symptoms and in preventing their recurrence",1621,[15316418 18853995 20601132 21438963 23567359]
List human diseases involving genomic imprinting.,"Prader Willi Syndrome
Angelman syndrome
Beckwith-Wiedemann syndrome
Hydatidiform mole
Cancer
Silver-Russell syndrome
Diabetes",376,"[11568896 16035043  7868070 15802919 15945483 12524013  8565331 22960339
 12444886 20822494]"
Was modafinil tested for schizophrenia treatment?,"Yes. Modafinil has been shown to improve attention, memory, executive function and antipsychotic-induced parkinsonism in  patients with schizophrenia. However, some authors have failed to demonstrate beneficial action of modafinil for schizophrenia.",1493,"[21412225 21909634 25306261 21565464 15085092 18392753 19572020 19914296
 21947320 18729534 17077439 19689921 17151173 20653641 22820554 22820555
 16013898 15994572 24964814 16634707 16965205 19026265 23983964 17712350
 20810469 17503979 17634412 18516718 21109234 15090936 23938173]"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ,496,"[25514659 20174468 23587141  2085926 23281786 22251432 19155272 23531432
 24095115 22355263  1534893 10986355 24465140 23225525 19877240 23979994
 24291999]"
What is the role of 5hmC (5 hydroxy-methyl-Cytocine) in differentiation?,"The balance between 5hmC and 5mC in the genome is linked with cell-differentiation processes such as pluripotency and lineage commitment. Tet1-mediated antagonism of CpG methylation imparts differential maintenance of DNA methylation status at Tet1 targets, ultimately contributing to mESC differentiation and the onset of embryonic development. By mapping DNA methylation and hydroxymethylation at base resolution, we find that deletion of Tet2 causes extensive loss of 5hmC at enhancers, accompanied by enhancer hypermethylation, reduction of enhancer activity, and delayed gene induction in the early steps of differentiation.",1685,"[24838624 21460836 21873190 24735881 25263596 22234893 25179373 22730288
 23403924 21514197 26275994 22722204 25071199]"
Is MK-1602 a CGRP antagonist?,"Yes, MK-1602 is a CGRP antagonist.",3875,[27269043]
Do conserved noncoding elements co-occur with matrix-attachment regions?,"Yes. It is estimated that 11% of the conserved noncoding DNA consists of predicted MARs. Conversely, more than half of the predicted MARs co-occur with one or more independently identified conserved sequence blocks. An excess of conserved predicted MARs is seen in intergenic regions preceding 5' ends of genes, suggesting that these MARs are primarily involved in transcriptional control.",1131,[12615002]
Through which protein interaction does MLP regulate F-actin dynamics?,"The interaction of MLP with CFL2 has direct implications in actin cytoskeleton dynamics in regulating CFL2-dependent F-actin depolymerization, with maximal depolymerization enhancement at an MLP/CFL2 molecular ratio of 2:1. Deregulation of this interaction by intracellular pH variations, CFL2 phosphorylation, MLP or CFL2 gene mutations, or expression changes, as observed in a range of cardiac and skeletal myopathies, could impair F-actin depolymerization, leading to sarcomere dysfunction and disease.",3113,[19752190]
What is known about prostate cancer screening in the UK,"Screening for early disease has been available for many years, but there is still no national screening programme established in the United Kingdom. Two systematic reviews have concluded that screening should not be carried out. In general, this recommendation has been accepted in the United Kingdom.",532,[20507844 20060331 17826892 23728749 19904272 11495383 20840664 19671770]
What is the purpose of the Ottawa Ankle Rule?,Ottawa Ankle Rules is a clinical decision tool used to minimize unnecessary radiographs in ankle and foot injuries. It shows the areas of tenderness to be evaluated in ankle trauma patients to determine the need for imaging.,2869,"[26262468 30183240 28764972 29891469 28965519 25933807 24971221 11782648
 28363615]"
Has the proteome of mice hippocampus been analysed?,"Yes, numerous proteomic studies of mice hippcampi has been performed.",2407,[27001617 26549202 28775826 27378549 26977433]
"What are the characteristics of the ""Universal Proteomics Standard 2"" (UPS2)?",The UPS2 proteomic dynamic range standard was introduced by the Association of Biomolecular Resource Facilities Proteomics Standards Research Group in 2006 and it has a dynamic range of 5 orders of magnitude.,717,[24195105 20823122]
